cuadrante,angulo_deg,errR_cordic_ulp,errR_ref_ulp,errPhi_cordic_ulp,errPhi_ref_ulp
1,32.435,3,0,0,0
1,17.606,1,0,1,1
1,1.830,0,0,1,0
1,43.242,0,0,4,0
1,72.468,2,0,0,0
2,177.154,0,0,1,0
2,106.037,3,0,2,0
2,106.807,3,0,0,0
2,105.426,4,1,2,0
2,136.319,2,1,2,0
2,147.619,1,0,1,0
2,123.960,3,0,3,0
2,110.024,0,0,1,0
2,144.685,1,0,2,0
2,177.684,0,0,1,0
2,167.910,0,1,0,0
2,124.545,0,0,0,0
2,147.983,1,0,2,0
2,171.037,1,0,2,0
2,136.668,0,0,2,0
2,151.150,0,0,2,0
2,142.508,1,1,1,0
2,159.558,1,1,1,0
2,134.544,1,0,1,1
2,157.289,0,0,1,0
2,119.600,1,0,0,0
2,120.190,1,0,0,0
2,154.699,2,0,1,0
2,126.469,0,0,0,1
2,161.960,0,0,0,0
2,151.648,1,0,1,0
2,160.272,2,0,0,0
2,161.683,2,0,1,0
2,104.586,0,0,0,0
2,148.802,2,1,0,0
2,114.551,1,0,1,0
2,119.163,2,0,2,0
2,130.113,0,1,3,0
2,146.167,0,1,0,0
2,176.557,1,0,1,0
2,101.846,2,0,2,0
2,131.310,1,1,0,0
2,92.911,0,1,1,0
2,150.324,0,0,1,0
2,150.767,0,0,1,0
2,170.951,0,0,0,0
2,174.840,0,0,2,0
2,139.085,0,0,2,0
2,121.990,1,0,0,0
2,172.214,3,1,1,0
2,91.926,1,0,1,0
2,113.190,1,0,1,0
2,147.703,1,1,2,0
2,159.482,1,0,0,0
2,169.247,1,0,1,0
2,94.297,2,0,1,0
2,101.635,0,0,1,0
2,114.644,1,0,1,0
2,109.412,1,0,1,0
2,115.369,1,0,1,0
2,97.950,3,1,0,0
2,138.429,0,1,0,0
2,99.412,0,0,1,0
2,110.309,1,1,1,0
2,144.335,0,0,0,0
2,118.231,0,0,0,0
2,153.641,1,0,1,0
2,140.207,0,1,2,0
2,114.839,1,0,1,0
2,107.303,0,0,1,0
2,177.988,1,0,1,0
2,171.121,0,0,0,0
2,121.031,2,0,1,0
2,144.383,1,0,0,0
2,168.726,2,1,0,0
2,94.231,2,1,1,0
2,92.917,2,0,1,0
2,113.339,1,0,0,0
2,108.490,0,0,1,0
2,165.120,1,0,0,0
2,110.209,1,0,1,0
2,127.151,1,1,0,0
2,154.541,1,0,1,0
2,151.021,2,0,0,0
2,117.278,2,0,1,0
2,98.983,0,0,0,0
2,136.976,0,0,2,0
2,118.980,0,1,2,0
2,106.943,0,0,0,0
2,166.990,0,0,0,0
2,113.659,2,0,1,0
2,167.695,2,1,0,0
2,124.687,0,0,1,0
2,144.624,1,0,0,0
2,131.814,2,0,0,0
2,135.707,1,0,2,0
2,136.204,1,0,2,0
2,114.820,0,0,1,0
2,133.996,0,0,1,0
2,164.973,0,0,2,0
2,178.754,1,0,1,0
2,145.141,0,0,1,0
2,104.376,1,1,1,1
2,177.219,1,0,1,0
2,102.550,1,0,2,0
2,148.814,1,1,1,0
2,149.669,1,1,1,0
2,160.478,0,0,1,0
2,106.751,1,0,1,0
2,138.549,1,0,3,0
2,131.240,1,0,2,0
2,95.721,1,0,1,0
2,104.544,1,0,0,0
2,134.097,0,0,2,0
